layer,best_threshold,AUPRC,AUROC,precision,recall,f1,tpr_at_5fpr,urup,arsp
0,0.2843024135200363,0.8603,0.8756,0.7571,0.9689,0.8500,0.0000,0.0311,0.2899
1,0.6616680359390253,0.9020,0.9256,0.8341,0.9119,0.8713,0.4819,0.0881,0.1691
2,0.49739401874566364,0.9567,0.9642,0.8500,0.9689,0.9056,0.7461,0.0311,0.1594
3,0.37292503890366235,0.9481,0.9631,0.8651,0.9637,0.9118,0.7720,0.0363,0.1401
4,0.5045274017170551,0.9666,0.9709,0.8883,0.9482,0.9173,0.7824,0.0518,0.1111
5,0.24278383680167748,0.9759,0.9793,0.8981,0.9585,0.9273,0.8653,0.0415,0.1014
6,0.4520688642832366,0.9844,0.9848,0.9286,0.9430,0.9357,0.9016,0.0570,0.0676
7,0.5751964190329256,0.9873,0.9877,0.9375,0.9326,0.9351,0.8912,0.0674,0.0580
8,0.4342261065230376,0.9790,0.9800,0.8852,0.9585,0.9204,0.8290,0.0415,0.1159
9,0.3535547442546096,0.9950,0.9955,0.9745,0.9896,0.9820,0.9845,0.0104,0.0242
10,0.49407312576776613,0.9906,0.9914,0.9538,0.9637,0.9588,0.9534,0.0363,0.0435
11,0.33199213712941855,0.9845,0.9857,0.9073,0.9637,0.9347,0.8653,0.0363,0.0918
12,0.494102948291152,0.9901,0.9901,0.9482,0.9482,0.9482,0.9326,0.0518,0.0483
13,0.4141272887880938,0.9955,0.9957,0.9646,0.9896,0.9770,0.9845,0.0104,0.0338
14,0.5553798953705054,0.9945,0.9946,0.9689,0.9689,0.9689,0.9689,0.0311,0.0290
15,0.4743905053615119,0.9906,0.9908,0.9430,0.9430,0.9430,0.9326,0.0570,0.0531
16,0.5454247342591274,0.9954,0.9956,0.9741,0.9741,0.9741,0.9793,0.0259,0.0242
17,0.5048199670908606,0.9920,0.9923,0.9634,0.9534,0.9583,0.9534,0.0466,0.0338
18,0.5349927352843665,0.9918,0.9923,0.9397,0.9689,0.9541,0.9378,0.0311,0.0580
19,0.49485829104290163,0.9961,0.9964,0.9845,0.9845,0.9845,0.9845,0.0155,0.0145
20,0.3737348906540475,0.9947,0.9949,0.9594,0.9793,0.9692,0.9793,0.0207,0.0386
21,0.4643617715859125,0.9840,0.9849,0.9529,0.9430,0.9479,0.9430,0.0570,0.0435
22,0.2929013553728675,0.9931,0.9934,0.9691,0.9741,0.9716,0.9378,0.0259,0.0290
23,0.5050048613540842,0.9925,0.9928,0.9683,0.9482,0.9581,0.9534,0.0518,0.0290
24,0.22220672833371205,0.9973,0.9977,0.9845,0.9896,0.9871,0.9896,0.0104,0.0145
25,0.3232166748369796,0.9915,0.9922,0.9403,0.9793,0.9594,0.9637,0.0207,0.0580
26,0.3716632172028326,0.9839,0.9850,0.9109,0.9534,0.9316,0.9119,0.0466,0.0870
27,0.3333309060767438,0.9991,0.9992,0.9897,0.9948,0.9922,0.9948,0.0052,0.0097
28,0.44443129256443276,0.9938,0.9942,0.9450,0.9793,0.9618,0.9585,0.0207,0.0531
29,0.42421707344179926,0.9840,0.9851,0.9465,0.9171,0.9316,0.9067,0.0829,0.0483
30,0.5050180182691627,0.9900,0.9903,0.9482,0.9482,0.9482,0.9378,0.0518,0.0483
31,0.4343209419487289,0.9902,0.9909,0.9632,0.9482,0.9556,0.9482,0.0518,0.0338
32,0.2928523690321581,0.9795,0.9808,0.9365,0.9171,0.9267,0.8912,0.0829,0.0580
